Difficulty: Easy
Average score per round: 0
Round #1
Score: 2
+: 0
I: 7
J: 1
L: 3
O: 5
P: 0
Q: 0
S: 4
T: 5
Z: 2
------------------------------------------
Round #2
Score: 0
+: 0
I: 0
J: 1
L: 0
O: 0
P: 0
Q: 0
S: 0
T: 0
Z: 2
------------------------------------------
Round #3
Score: 0
+: 0
I: 0
J: 1
L: 1
O: 1
P: 0
Q: 0
S: 0
T: 2
Z: 3
------------------------------------------
Round #4
Score: 0
+: 0
I: 0
J: 0
L: 2
O: 0
P: 0
Q: 0
S: 0
T: 1
Z: 0
------------------------------------------
Round #5
Score: 0
+: 0
I: 2
J: 4
L: 5
O: 5
P: 0
Q: 0
S: 3
T: 3
Z: 2
------------------------------------------
Round #5
Score: 0
+: 0
I: 2
J: 4
L: 5
O: 5
P: 0
Q: 0
S: 3
T: 3
Z: 2
